Enrolments (FTE) in distance education by year of schooling_mid-year 2021,,,
,,,
,Boys,Girls,Total
Kindergarten,44,49,93
Year 1,69,54,123
Year 2,72,54,126
Year 3,59,70,129
Year 4,63,65,128
Year 5,67,49,116
Year 6,63,56,119
Primary Support,3,2,5
Total Primary,440,399,839
Year 7,44,31,75
Year 8,114,94,208
Year 9,171,211,382
Year 10,250,317,567
Year 11,122.7,173.3,296
Year 12,79.1,95.7,174.8
Secondary Support,26,18,44
Total Secondary,806.8,940,1746.8
Total all students,1246.8,1339,2585.8
