X,Y,OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT
503424.1739,6962049.063,143,100085058,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1837-N008,D0075,CAPTAIN BURKE PARK,KANGAROO POINT,MAINS POWER,2,153.0346563,-27.46509464
503420.1872,6960637.611,144,200527477,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1557-N008,D0680,KANGAROO POINT CLIFFS PARK,KANGAROO POINT,MAINS POWER,1,153.0346199,-27.47783722
497441.3398,6958215.605,145,200532274,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1807-N003,D0015,KEATING PARK,INDOOROOPILLY,MAINS POWER,1,152.9740955,-27.4997049
507236.2402,6958731.44,146,200528667,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1727-N003,D0106,TARANA STREET PARK,CAMP HILL,WOOD FIRED,1,153.0732583,-27.49503109
499142.4493,6943459.328,147,200535197,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0357-N001,D2190,BRUSH BOX PLACE PARK,HEATHWOOD,MAINS POWER,1,152.9913075,-27.6329247
497020.2493,6961623.541,148,200536457,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N013,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.9698407,-27.46893729
496888.8367,6961184.661,149,100264426,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-1901-N031,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,BOTTLED GAS,2,152.9685095,-27.4728992
487446.4036,6950325.334,150,200535892,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0241-N004,D2613,WESTAWAY PARK (MOGGILL),MOGGILL,MAINS POWER,2,152.8728226,-27.5708817
496461.3001,6961934.74,151,100115345,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-1901-N002,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,BOTTLED GAS,2,152.9641842,-27.46612645
495890.2587,6961888.205,152,200542926,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-1901-N008,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,BOTTLED GAS,2,152.9584045,-27.46654496
501520.315,6974159.214,153,100289531,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1770-N004,D0217,ASPLEY REST PARK,CARSELDINE,MAINS POWER,1,153.0153721,-27.35576685
512431.1735,6953486.938,154,200548904,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2294-N001,D1335,MACKENZIE PARK,MACKENZIE,MAINS POWER,1,153.1259046,-27.54234032
497814.1616,6967352.32,155,200549013,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1698-N007,D0126,SID LODER PARK,MITCHELTON,MAINS POWER,2,152.9778865,-27.41721925
504240.4954,6952030.311,156,100123880,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1637-N002,D0554,ROSEBANK SQUARE,SALISBURY,MAINS POWER,1,153.0429535,-27.55554097
498868.4988,6943294.536,157,200551856,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0234-N001,D2635,HAZEL STREET PARK,HEATHWOOD,MAINS POWER,1,152.9885304,-27.63441221
505308.4914,6963331.32,158,200560920,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0233-N006,D2672,BULIMBA RIVERSIDE PARK,BULIMBA,MAINS POWER,1,153.053722,-27.45351237
492956.1796,6954857.121,159,200560927,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1920-N004,D0338,JINDALEE BOAT RAMP PARK,JINDALEE,MAINS POWER,2,152.9286672,-27.53000917
492928.6442,6954802.405,160,200560928,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1920-N004,D0338,JINDALEE BOAT RAMP PARK,JINDALEE,MAINS POWER,2,152.928388,-27.530503
503040.5933,6942530.336,161,200559366,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0170-N002,D2005,DAINTREE DRIVE PARK (NO.65),PARKINSON,MAINS POWER,1,153.0308232,-27.64130827
505188.3435,6961648.956,162,200560683,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1736-N002,D0095,NEW FARM PARK,NEW FARM,MAINS POWER,1,153.0525133,-27.46870121
519013.1519,6961864.459,163,200560507,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1426-N010,D0530,LOTA CAMPING RESERVE,LOTA,MAINS POWER,2,153.192436,-27.4666326
505273.0678,6961499.97,164,200570294,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1736-N018,D0095,NEW FARM PARK,NEW FARM,MAINS POWER,2,153.0533715,-27.47004593
500491.5353,6972020.315,165,200477432,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2184-N001,D1186,MARTINDALE STREET PARK,CHERMSIDE WEST,WOOD FIRED,1,153.0049708,-27.37507786
499236.6003,6960343.052,166,200501719,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1370-N003,D0471,TOOWONG MEMORIAL PARK,TOOWONG,MAINS POWER,1,152.9922725,-27.48050058
494854.0225,6958969.941,167,200477865,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2495-N003,D0864,MARMINDIE STREET PARK,CHAPEL HILL,WOOD FIRED,1,152.9479041,-27.49288744
497940.6508,6952423.432,168,200472683,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2008-N006,D0317,NIXON PARK,OXLEY,MAINS POWER,1,152.9791408,-27.551997
491914.4143,6951650.731,169,200472997,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1594-N001,D0650,JAMBOREE LIONS COMMUNITY PARK,MIDDLE PARK,MAINS POWER,1,152.9180957,-27.55895027
510278.5462,6975315.096,170,200501938,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1447-N009,D0438,NUDGEE BEACH RESERVE,NUDGEE BEACH,MAINS POWER,1,153.1039178,-27.34529357
508269.7407,6977864.858,171,200500844,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1875-N012,D0276,SANDGATE FORESHORES PARK,SANDGATE,MAINS POWER,2,153.0835912,-27.32228756
508335.4029,6977742.799,172,200500848,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1875-N026,D0276,SANDGATE FORESHORES PARK,SANDGATE,MAINS POWER,2,153.0842557,-27.32338913
503780.5892,6945242.768,173,200484060,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0029-N003,D0956,BUNDABAH DRIVE PARK,CALAMVALE,MAINS POWER,1,153.0383162,-27.61681916
505631.2027,6941235.486,174,200488910,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0167-N001,D2009,MACQUARIE WAY PARK (NO.123),DREWVALE,MAINS POWER,1,153.0570909,-27.65298953
501657.5294,6949554.151,175,200488913,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1629-N010,D0563,MORTIMER ROAD PARK,ACACIA RIDGE,MAINS POWER,1,153.0167931,-27.57790103
504920.7272,6972114.264,176,100119620,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1988-N004,D0244,BOWDEN PARK,GEEBUNG,MAINS POWER,1,153.0497623,-27.37422089
499258.8064,6955636.06,177,200482666,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2399-N007,D0824,GRACEVILLE RIVERSIDE PARKLANDS,GRACEVILLE,WOOD FIRED,1,152.9924944,-27.52299507
500276.9177,6968553.921,178,200482688,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1715-N002,D0206,BOLES STREET PARK,STAFFORD,MAINS POWER,2,153.0028012,-27.40637284
503131.83,6943493.941,179,200471405,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2176-N001,D1194,SPRINGFIELD CRESCENT PARK,PARKINSON,MAINS POWER,1,153.0317456,-27.63260886
495479.0103,6964302.366,180,200489036,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1738-N004,D0160,WALTON BRIDGE RESERVE,THE GAP,MAINS POWER,1,152.9542511,-27.4447486
509417.27,6962429.168,181,200484788,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0698-N001,D1815,CARNARVON WAY PARK,MURARRIE,MAINS POWER,1,153.0953099,-27.46163475
518280.5143,6961515.623,182,100125831,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1423-N006,D0534,COX PARK,LOTA,MAINS POWER,1,153.1850261,-27.46979192
504115.0263,6950827.686,183,200486548,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1584-N007,D0730,BERYL ROBERTS PARK,COOPERS PLAINS,MAINS POWER,1,153.0416867,-27.5663985
501848.6577,6966586.148,184,200478510,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0017-N002,D0498,LANHAM PARK,GRANGE,MAINS POWER,1,153.0187035,-27.42413679
508270.5247,6955103.958,185,100083817,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1851-N002,D0059,CHESTER PARK RESERVE,MOUNT GRAVATT EAST,WOOD FIRED,1,153.083754,-27.52777382
502736.1898,6970568.625,186,200477556,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2003-N003,D0229,JOHN PATTERSON PARK,CHERMSIDE,MAINS POWER,1,153.027674,-27.38818121
508476.2907,6964295.626,187,100086027,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1155-N002,D3712,NORTHSHORE RIVERSIDE PARK,HAMILTON,MAINS POWER,2,153.0857734,-27.44479055
508455.1438,6964278.283,188,100086028,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1155-N002,D3712,NORTHSHORE RIVERSIDE PARK,HAMILTON,MAINS POWER,1,153.0855596,-27.44494726
499941.9659,6961625.524,189,100086066,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0416-N009,D1723,FREW PARK,MILTON,MAINS POWER,2,152.9994126,-27.46892266
502234.3092,6955832.221,190,200558942,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1453-N008,D0389,YERONGA MEMORIAL PARK,YERONGA,MAINS POWER,2,153.0226251,-27.52122251
498172.6367,6960515.743,191,100104043,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1373-N004,D0467,ANZAC PARK,MOUNT COOT-THA,WOOD FIRED,1,152.9815028,-27.47894051
502442.1607,6976264.764,192,100108300,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2722-N002,D2165,CAPE ARID PARK,FITZGIBBON,MAINS POWER,1,153.0246888,-27.33675629
497500.4699,6958202.686,193,100108591,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1807-N003,D0015,KEATING PARK,INDOOROOPILLY,MAINS POWER,1,152.9746941,-27.49982164
496315.7493,6944874.639,194,100280021,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2099-N014,D1279,THE LAKE PARKLANDS,FOREST LAKE,MAINS POWER,1,152.962659,-27.62014282
496097.6367,6958156.735,195,200472843,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2388-N004,D0910,CLARINA STREET PARK,CHAPEL HILL,WOOD FIRED,1,152.9604914,-27.50023317
495948.9561,6961940.912,196,100270380,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-1901-N008,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,BOTTLED GAS,2,152.9589987,-27.4660693
508350.5809,6964717.663,197,100271053,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1152-N002,D3754,OLD SHORELINE PARK,HAMILTON,MAINS POWER,2,153.0844984,-27.44098118
503583.9548,6962032.223,198,100275138,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1837-N003,D0075,CAPTAIN BURKE PARK,KANGAROO POINT,MAINS POWER,2,153.0362735,-27.46524626
506449.7747,6974640.607,199,100280023,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1992-N002,D0240,DONNA PHILP PARK,BOONDALL,MAINS POWER,2,153.0652119,-27.35140639
502011.439,6943019.698,200,100280862,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0508-N004,D1617,GREENWAYS ESPLANADE PARK,PARKINSON,MAINS POWER,2,153.0203896,-27.63689235
497853.781,6952371.409,201,100290094,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2008-N003,D0317,NIXON PARK,OXLEY,MAINS POWER,2,152.9782608,-27.55246652
501704.1191,6946255.386,202,100290201,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2860-N004,D2250,WHISTLER PLACE PARK,PALLARA,MAINS POWER,2,153.0172698,-27.60768166
506871.9486,6964927.225,203,100290211,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1542-N005,D0699,HERCULES STREET PARK,HAMILTON,MAINS POWER,2,153.0695352,-27.43909752
498988.1527,6955006.695,204,200480668,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2019-N001,D0304,STRICKLAND TERRACE PARK,SHERWOOD,WOOD FIRED,1,152.9897531,-27.52867675
500336.4454,6941465.177,205,100296488,BBQ - GAS DOUBLE,BARBEQUE,B-RE-2900-N004,D2274,WARRIL PARKLAND,LARAPINTA,BOTTLED GAS,2,153.0034109,-27.65092766
510260.9636,6951968.877,206,100301993,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0034-N001,D1123,MINDONA ROTARY PARK,WISHART,MAINS POWER,1,153.1039374,-27.55606336
502305.0849,6957268.715,207,200488686,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1799-N002,D0023,ROBINSON PARK (FAIRFIELD),FAIRFIELD,MAINS POWER,1,153.023339,-27.50825382
504138.1188,6963928.949,208,200482137,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0073-N002,D2024,COWLISHAW STREET PARK,BOWEN HILLS,MAINS POWER,1,153.0418758,-27.44812103
496433.5445,6943815.325,209,200487324,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0168-N002,D2008,CASCADE DRIVE PARK (NO.25),FOREST LAKE,MAINS POWER,1,152.9638498,-27.62970639
494679.7784,6944423.837,210,100282046,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0120-N001,D2015,ROXWELL STREET PARK,FOREST LAKE,MAINS POWER,1,152.946076,-27.62420711
499919.0263,6961925.229,211,200488790,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1376-N004,D0478,GREGORY PARK,MILTON,MAINS POWER,1,152.9991805,-27.46621692
498562.4195,6972528.452,212,100119643,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2068-N003,D1159,SOLAR PARK,BRIDGEMAN DOWNS,MAINS POWER,1,152.9854625,-27.37048967
492420.576,6955861.773,213,200482220,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1883-N006,D0267,THE RAFTING GROUND PARK,BROOKFIELD,MAINS POWER,1,152.9232494,-27.52093638
504139.5503,6954072.844,214,100266854,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1416-N015,D0545,TOOHEY FOREST PARK,NATHAN,MAINS POWER,2,153.041924,-27.53710152
503425.5232,6971873.378,215,200482320,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2004-N032,D0228,7TH BRIGADE PARK,CHERMSIDE,MAINS POWER,1,153.0346423,-27.37640021
501020.9933,6962387.908,216,100275139,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1974-N001,D0174,NEAL MACROSSAN PLAYGROUND PARK,PADDINGTON,MAINS POWER,1,153.0103333,-27.46203947
491552.4628,6957664.627,217,200500349,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2051-N004,D1230,BOYD TERRACE PARK,BROOKFIELD,MAINS POWER,1,152.9144713,-27.50465522
505685.7823,6969080.123,218,200501252,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1397-N010,D0449,BOYD PARK,NUNDAH,MAINS POWER,1,153.0575133,-27.40161042
505672.0351,6960710.624,219,100308280,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1780-N003,D0046,WILSON PARK,NORMAN PARK,MAINS POWER,2,153.0574133,-27.47717052
511022.6508,6952312.366,220,100267930,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1490-N002,D0435,BOORABBIN PICNIC GROUND,WISHART,MAINS POWER,2,153.1116497,-27.5529564
498976.7529,6962004.145,221,100113839,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1374-N001,D0466,NORMAN BUCHAN PARK,BARDON,MAINS POWER,1,152.9896436,-27.46550408
517500.8051,6961484.203,222,200471598,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1422-N004,D0536,HERBERT STREET PARK,LOTA,WOOD FIRED,1,153.1771347,-27.47008584
502875.2959,6943081.6,223,200480202,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0417-N002,D1722,ALGESTER ROAD PARK (NO.515),PARKINSON,MAINS POWER,1,153.0291462,-27.63633195
514004.9239,6970230.119,224,200478761,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1390-N003,D0458,MYRTLETOWN RESERVE,PINKENBA,WOOD FIRED,1,153.1416504,-27.39116811
500570.3919,6964374.185,225,200483227,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1954-N002,D0197,BANCROFT PARK,KELVIN GROVE,MAINS POWER,1,153.0057719,-27.44410761
510096.1383,6975441.311,226,200483613,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1447-N014,D0438,NUDGEE BEACH RESERVE,NUDGEE BEACH,MAINS POWER,2,153.1020725,-27.34415544
507435.0214,6949920.728,227,200488566,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1613-N001,D0664,YIMBUN PARK,SUNNYBANK,MAINS POWER,1,153.0753249,-27.57457222
516129.9849,6959612.773,228,100294942,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0352-N001,D2232,SHERIFF PARK,WAKERLEY,MAINS POWER,1,153.1632849,-27.48699795
500124.5694,6959296.333,229,200470583,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1908-N003,D0346,ORLEIGH PARK,WEST END,MAINS POWER,1,153.0012611,-27.48995053
509073.3932,6963729.806,230,200513560,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0572-N002,D1763,COLMSLIE BEACH RESERVE,MURARRIE,MAINS POWER,1,153.0918199,-27.44989494
509033.4081,6963714.316,231,200513566,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0572-N002,D1763,COLMSLIE BEACH RESERVE,MURARRIE,MAINS POWER,1,153.0914153,-27.45003504
505502.7988,6979209.541,232,200474099,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1871-N005,D0281,SANDGATE THIRD LAGOON RESERVE,BRIGHTON,WOOD FIRED,1,153.0556167,-27.31016144
514477.102,6962877.724,233,200524053,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1676-N002,D0658,KIANAWAH ROAD PARK (NO.330),WYNNUM WEST,MAINS POWER,2,153.1465137,-27.45754075
496782.2921,6963796.876,234,100119615,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2537-N001,D1095,WILCANNIA PARK,ASHGROVE,MAINS POWER,2,152.967438,-27.44931588
503431.5344,6960664.593,235,200524567,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1557-N008,D0680,KANGAROO POINT CLIFFS PARK,KANGAROO POINT,MAINS POWER,1,153.0347347,-27.47759359
514481.6376,6962859.063,236,200524061,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1676-N002,D0658,KIANAWAH ROAD PARK (NO.330),WYNNUM WEST,MAINS POWER,2,153.1465599,-27.45770916
503319.3754,6960400.989,237,200524089,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1557-N009,D0680,KANGAROO POINT CLIFFS PARK,KANGAROO POINT,MAINS POWER,1,153.0336002,-27.47997368
501628.3611,6961539.157,238,200524470,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2061-N004,D1263,KURILPA POINT PARK,SOUTH BRISBANE,MAINS POWER,2,153.0164814,-27.4697014
489495.2553,6951380.139,239,200525330,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1671-N010,D0663,BOOKER PLACE PARK,BELLBOWRIE,WOOD FIRED,1,152.8935881,-27.56137654
496349.623,6953405.764,240,200527818,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0673-N014,D1845,ROCKS RIVERSIDE PARK,SEVENTEEN MILE ROCKS,MAINS POWER,2,152.9630282,-27.54312526
492421.125,6968121.302,241,200526971,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1748-N003,D0150,UPPER KEDRON RECREATION RESERVE,UPPER KEDRON,MAINS POWER,2,152.9233316,-27.41025751
504173.6527,6965056.698,242,200474594,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1978-N006,D0170,YOWOGGERA  PARK,ALBION,MAINS POWER,1,153.0422315,-27.43793958
506490.618,6978630.779,243,200532177,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1869-N007,D0284,SANDGATE SECOND LAGOON RESERVE,SANDGATE,MAINS POWER,2,153.0656036,-27.31538228
496568.0611,6961018.602,244,100264662,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-1901-N034,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,BOTTLED GAS,2,152.9652622,-27.47439761
491572.3032,6952587.605,245,100294943,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0154-N002,D1936,SEABROOK CIRCUIT PARK,WESTLAKE,MAINS POWER,1,152.9146368,-27.55049021
510459.6236,6974661.049,246,200470303,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2060-N008,D1264,TUCKEROO PARK,NUDGEE BEACH,MAINS POWER,1,153.1057541,-27.35119702
496572.2169,6953019.076,247,200541702,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0283-N004,D2176,FORT ROAD BUSHLANDS,OXLEY,MAINS POWER,1,152.9652816,-27.54661682
500680.2348,6968101.364,248,200548901,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1714-N005,D0205,ROY HARVEY PARK,STAFFORD,MAINS POWER,1,153.0068813,-27.41045841
498718.1828,6942971.084,249,200551902,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1129-N003,D3054,HEATHWOOD PARK,HEATHWOOD,MAINS POWER,1,152.9870064,-27.63733211
500526.6132,6962335.306,250,200556309,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0321-N001,D2112,BEDGOOD PARK,MILTON,MAINS POWER,2,153.0053298,-27.46251464
505057.5067,6968633.444,251,200556814,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1387-N009,D0463,KALINGA PARK,CLAYFIELD,MAINS POWER,2,153.05116,-27.40564555
505076.7525,6968614.088,252,200556815,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1387-N009,D0463,KALINGA PARK,CLAYFIELD,MAINS POWER,2,153.0513547,-27.40582022
505117.8101,6961375.746,253,200560667,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1736-N017,D0095,NEW FARM PARK,NEW FARM,MAINS POWER,2,153.0518006,-27.47116802
502449.3708,6958643.431,254,200560305,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1487-N002,D0355,DUTTON PARK,DUTTON PARK,MAINS POWER,2,153.0247971,-27.4958427
506782.3154,6967141.956,255,200561185,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1803-N001,D0019,THE BEIRNE PARK,HENDRA,MAINS POWER,1,153.0686158,-27.41910329
499398.5817,6955541.309,256,200559339,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2399-N005,D0824,GRACEVILLE RIVERSIDE PARKLANDS,GRACEVILLE,WOOD FIRED,1,152.9939098,-27.52385054
505285.8595,6961515.38,257,200570336,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1736-N018,D0095,NEW FARM PARK,NEW FARM,MAINS POWER,2,153.0535009,-27.46990676
502041.378,6975336.867,258,200500752,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2549-N001,D1082,MATISSE STREET PARK,CARSELDINE,MAINS POWER,2,153.0206386,-27.34513416
503245.4274,6980363.409,259,200504350,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2317-N011,D1252,TINCHI TAMBA WETLANDS RESERVE,BALD HILLS,MAINS POWER,1,153.0327984,-27.2997513
501889.5138,6949372.471,260,200488976,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1624-N004,D0568,GRENIER PARK,ACACIA RIDGE,MAINS POWER,1,153.0191437,-27.5795409
510057.4661,6946679.201,261,200479592,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2257-N001,D1523,KING STREET PARK,KURABY,MAINS POWER,1,153.1019202,-27.60381919
500474.9942,6957324.066,262,200470343,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1817-N002,D0004,JACARANDA PARK,YERONGA,WOOD FIRED,1,153.0048093,-27.50775599
504934.8656,6975193.514,263,200570419,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2135-N003,D1135,HAYWAL STREET PARK,TAIGUM,MAINS POWER,1,153.0498928,-27.34642098
484269.6921,6953353.106,264,100086071,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0610-N002,D1886,KOOKABURRA PARK - WEST,KARANA DOWNS,MAINS POWER,2,152.8406796,-27.54351426
502148.4245,6968208.719,265,200559948,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1798-N006,D0024,KEITH PAYNE PARK,STAFFORD,MAINS POWER,1,153.0217335,-27.40948768
500036.5296,6961586.992,266,100086067,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0416-N006,D1723,FREW PARK,MILTON,MAINS POWER,2,153.0003697,-27.46927052
503784.4414,6944792.705,267,100085485,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0312-N004,D2072,CALAMVALE DISTRICT PARK,CALAMVALE,MAINS POWER,2,153.0383567,-27.62088222
518993.4007,6961887.769,268,200524107,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1426-N010,D0530,LOTA CAMPING RESERVE,LOTA,MAINS POWER,2,153.1922357,-27.46642244
500800.0865,6956230.453,269,200471656,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1511-N001,D0420,SIR JOHN CHANDLER PARK,INDOOROOPILLY,WOOD FIRED,1,153.0081016,-27.5176289
502416.8353,6976249.096,270,100108301,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2722-N002,D2165,CAPE ARID PARK,FITZGIBBON,MAINS POWER,1,153.0244328,-27.33689779
496342.1969,6961982.452,271,100109883,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-1901-N002,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,BOTTLED GAS,2,152.9629789,-27.46569539
501647.7855,6947991.304,272,100116115,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2592-N002,D1061,GEMSTONE CRESCENT PARK,ACACIA RIDGE,MAINS POWER,1,153.0166965,-27.59201017
501377.5765,6975807.3,273,100125380,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0217-N004,D2158,MACARANGA CRESCENT PARK,CARSELDINE,MAINS POWER,1,153.013927,-27.34088784
497690.6507,6953366.622,274,100133682,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2812-N001,D2221,MONTROSE PARK,CORINDA,MAINS POWER,1,152.9766103,-27.54348158
