X,Y,OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT
504591.163,6962792.423,50,200477079,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1834-N004,D0078,TENERIFFE PARK,TENERIFFE,MAINS POWER,1,153.0464647,-27.45838014
503271.0007,6964701.954,51,200569299,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1519-N001,D0503,MANN PARK,WINDSOR,MAINS POWER,2,153.0330989,-27.44114469
503321.806,6980380.433,52,200502692,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2317-N011,D1252,TINCHI TAMBA WETLANDS RESERVE,BALD HILLS,MAINS POWER,1,153.0335702,-27.29959742
508324.032,6977726.903,53,200500845,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1875-N026,D0276,SANDGATE FORESHORES PARK,SANDGATE,MAINS POWER,2,153.0841409,-27.32353271
518478.3604,6963516.416,54,200501073,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1685-N004,D0517,BAYSIDE PARK,MANLY,MAINS POWER,2,153.1869981,-27.45172618
506636.5199,6958536.319,55,200470540,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1649-N003,D0603,LEICESTER STREET PARK,COORPAROO,WOOD FIRED,1,153.0671879,-27.49679569
490535.8328,6953083.859,56,200488961,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0401-N003,D1544,RIVERVIEW FARM PARK,WESTLAKE,MAINS POWER,2,152.9041424,-27.54600325
503424.7285,6971933.538,57,200488993,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2004-N032,D0228,7TH BRIGADE PARK,CHERMSIDE,MAINS POWER,1,153.0346341,-27.37585708
502954.366,6971709.515,58,100119619,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1761-N001,D0227,MARCHANT PARK,ASPLEY,MAINS POWER,1,153.0298779,-27.37788068
500195.2248,6974908.4,59,100116432,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2460-N003,D0750,FLAMETREE STREET PARK,BRIDGEMAN DOWNS,MAINS POWER,1,153.0019738,-27.34900393
499568.0745,6960614.98,60,100085223,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1370-N013,D0471,TOOWONG MEMORIAL PARK,TOOWONG,MAINS POWER,1,152.9956279,-27.47804576
484272.7055,6953464.163,61,100086070,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0610-N011,D1886,KOOKABURRA PARK - WEST,KARANA DOWNS,MAINS POWER,2,152.8407116,-27.54251169
504350.7927,6978412.409,62,200524468,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2646-N003,D0975,FRED FRANCIS PARK,BRACKEN RIDGE,MAINS POWER,1,153.0439762,-27.31736225
506046.355,6970260.619,63,200478281,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0014-N002,D0456,PLAISTED PLACE PARK,NORTHGATE,MAINS POWER,1,153.0611547,-27.39095126
505164.1741,6961373.909,64,100085085,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1736-N017,D0095,NEW FARM PARK,NEW FARM,MAINS POWER,1,153.0522699,-27.47118442
494569.5969,6953227.352,65,100085953,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2690-N003,D0919,AVONDALE PARK,SINNAMON PARK,MAINS POWER,1,152.9449989,-27.54472998
503707.841,6944843.689,66,200488241,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0312-N004,D2072,CALAMVALE DISTRICT PARK,CALAMVALE,MAINS POWER,2,153.0375801,-27.62042217
503748.0562,6944838.29,67,100085484,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0312-N004,D2072,CALAMVALE DISTRICT PARK,CALAMVALE,MAINS POWER,2,153.0379878,-27.6204708
507005.0243,6946801.1,68,200477289,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1565-N002,D0672,WILLIAMS PARK,RUNCORN,MAINS POWER,2,153.0709867,-27.60273798
507778.3675,6957189.687,69,100085078,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1853-N012,D0056,WHITES HILL RESERVE,CAMP HILL,MAINS POWER,2,153.0787566,-27.50894694
515711.7731,6960162.671,70,200529045,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0235-N002,D2634,TORRENS CRESCENT PARK,WAKERLEY,MAINS POWER,2,153.1590442,-27.48203842
500634.8692,6955479.298,71,100101216,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0265-N002,D3398,KEN FLETCHER PARK,TENNYSON,MAINS POWER,2,153.006429,-27.52441036
494327.751,6952330.667,72,100101987,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2605-N001,D1044,SETTLERS PARK,SINNAMON PARK,WOOD FIRED,1,152.9425452,-27.55282416
498163.0593,6960453.541,73,100271121,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1373-N002,D0467,ANZAC PARK,MOUNT COOT-THA,MAINS POWER,1,152.9814058,-27.47950206
506650.9489,6957290.422,74,100105130,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1718-N003,D0118,MAJESTIC PARK,COORPAROO,MAINS POWER,2,153.0673408,-27.50804351
518426.3333,6959768.271,75,100107270,BBQ - GAS DOUBLE,BARBEQUE,B-RE-2285-N006,D1376,CHELSEA ROAD PARK (NOS.399-551),RANSOME,BOTTLED GAS,2,153.1865285,-27.48556492
502898.2777,6975665.811,76,100107599,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0474-N005,D1461,IRIS PLACE PARK,FITZGIBBON,MAINS POWER,2,153.0293012,-27.34216285
502648.7219,6975854.503,77,100107611,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2724-N002,D2189,KURINGGAI PARK,FITZGIBBON,MAINS POWER,2,153.0267779,-27.34045981
497080.556,6961213.994,78,100264401,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-1901-N023,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,BOTTLED GAS,2,152.9704501,-27.47263481
497522.7805,6958216.885,79,100108592,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1807-N003,D0015,KEATING PARK,INDOOROOPILLY,MAINS POWER,1,152.97492,-27.49969349
501358.1027,6965127.814,80,100109249,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1446-N005,D0487,MCCOOK PARK,NEWMARKET,MAINS POWER,2,153.013742,-27.43730326
506868.2902,6955257.112,81,100110470,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1846-N001,D0064,GLINDEMANN PARK,HOLLAND PARK WEST,MAINS POWER,1,153.069553,-27.52639899
500034.2879,6961620.467,82,100115892,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0416-N002,D1723,FREW PARK,MILTON,MAINS POWER,2,153.000347,-27.46896831
496272.3403,6944303.839,83,100119402,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2099-N029,D1279,THE LAKE PARKLANDS,FOREST LAKE,MAINS POWER,2,152.9622173,-27.62529576
506192.6969,6969211.824,84,100125464,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1393-N006,D0454,OXENHAM PARK,NUNDAH,MAINS POWER,2,153.0626402,-27.40041921
501458.1347,6963378.224,85,100125765,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0315-N002,D2068,KUNDU PARK,KELVIN GROVE,MAINS POWER,2,153.0147563,-27.45309849
502954.3232,6975799.213,86,100125836,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2725-N002,D2193,DAINTREE PARK,FITZGIBBON,MAINS POWER,1,153.0298675,-27.34095836
495859.3152,6961822.802,87,100132313,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-1901-N008,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,BOTTLED GAS,2,152.9580911,-27.46713532
497155.7075,6961295.1,88,100132673,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-1901-N023,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,BOTTLED GAS,2,152.9712109,-27.47190274
