,Boys,Girls,Total
Kindergarten,58,30,88
Year 1,73,65,138
Year 2,64,55,119
Year 3,78,46,124
Year 4,70,72,142
Year 5,86,51,137
Year 6,66,68,134
Primary Support,3,4,7
Total Primary,498,391,889
Year 7,49,47,96
Year 8,96,98,194
Year 9,206,206,412
Year 10,299,346,645
Year 11,142.5,183.4,325.9
Year 12,83.2,114.3,197.5
Secondary Support,25,15,40
Total Secondary,900.7,1009.7,1910.4
Total all students,1398.7,1400.7,2799.4
